episode_id,total_timesteps,deadlock,total_meals,throughput,fairness,meals_per_philosopher
0,30,False,35,1.1666666666666667,0.5714285714285714,7;1;5;2;8;2;3;5;1;1
1,30,False,30,1.0,0.7777777777777778,2;4;3;3;5;3;4;2;3;1
2,30,False,33,1.1,0.5858585858585861,7;0;4;3;3;2;6;3;5;0
3,22,True,24,1.0909090909090908,0.5185185185185184,5;1;4;2;4;2;1;5;0;0
4,23,True,26,1.1304347826086956,0.7521367521367522,3;4;2;2;3;3;2;4;3;0
5,30,False,37,1.2333333333333334,0.6906906906906909,6;2;5;4;6;2;2;6;1;3
6,30,False,31,1.0333333333333334,0.7025089605734769,4;2;5;2;2;6;2;4;3;1
7,30,False,33,1.1,0.6127946127946129,5;1;7;1;5;3;4;3;4;0
8,30,False,33,1.1,0.6936026936026938,5;4;1;5;4;3;4;5;2;0
9,30,False,34,1.1333333333333333,0.6405228758169935,5;3;4;5;1;6;2;6;1;1
10,30,False,36,1.2,0.6049382716049385,7;2;7;2;5;2;6;3;2;0
11,30,False,36,1.2,0.6049382716049385,5;3;6;1;8;1;2;6;2;2
12,30,False,33,1.1,0.6397306397306397,6;2;4;3;5;3;3;6;1;0
13,30,False,39,1.3,0.6324786324786326,8;1;5;4;6;5;3;2;5;0
14,30,False,38,1.2666666666666666,0.649122807017544,7;1;6;3;5;2;5;5;4;0
15,30,False,38,1.2666666666666666,0.6198830409356726,4;5;3;2;6;2;8;2;6;0
16,1,True,0,0.0,1.0,0;0;0;0;0;0;0;0;0;0
17,30,False,32,1.0666666666666667,0.8263888888888888,3;3;3;3;5;3;3;5;1;3
18,30,False,33,1.1,0.6936026936026938,6;3;4;3;2;5;3;5;1;1
19,30,False,37,1.2333333333333334,0.5945945945945947,7;3;5;2;4;2;7;1;6;0
20,30,False,36,1.2,0.5617283950617284,9;1;6;2;4;5;2;5;2;0
21,30,False,32,1.0666666666666667,0.6180555555555556,4;4;1;7;1;5;3;4;3;0
22,30,False,34,1.1333333333333333,0.6078431372549021,6;2;6;2;6;2;5;1;4;0
23,30,False,36,1.2,0.5802469135802469,8;1;5;4;2;4;7;2;3;0
24,30,False,34,1.1333333333333333,0.6535947712418301,7;1;4;4;4;4;4;5;1;0
25,30,False,34,1.1333333333333333,0.6797385620915034,6;2;2;3;5;1;5;4;5;1
26,30,False,34,1.1333333333333333,0.6601307189542486,6;2;6;2;4;5;2;4;3;0
27,30,False,32,1.0666666666666667,0.7777777777777778,6;4;3;3;3;4;3;3;2;1
28,30,False,37,1.2333333333333334,0.6006006006006007,7;0;6;3;6;1;6;4;3;1
29,30,False,36,1.2,0.654320987654321,7;2;5;3;6;2;3;5;3;0
