episode_id,total_timesteps,deadlock,total_meals,throughput,fairness,meals_per_philosopher
0,30,False,14,0.4666666666666667,0.6666666666666669,2;1;1;1;3;2;0;1;2;1
1,30,False,18,0.6,0.6419753086419753,2;1;2;0;2;3;2;1;4;1
2,30,False,16,0.5333333333333333,0.8333333333333335,2;1;2;2;2;2;1;1;1;2
3,30,False,18,0.6,0.7160493827160495,1;2;3;2;2;1;2;0;3;2
4,30,False,20,0.6666666666666666,0.7666666666666667,2;1;2;3;2;2;1;1;3;3
5,30,False,22,0.7333333333333333,0.5858585858585861,5;3;1;1;1;2;2;4;3;0
6,30,False,16,0.5333333333333333,0.5972222222222224,1;2;1;4;1;3;0;2;1;1
7,30,False,19,0.6333333333333333,0.6315789473684211,2;1;3;4;1;2;2;0;1;3
8,30,False,15,0.5,0.6370370370370371,2;0;0;3;1;2;1;2;2;2
9,30,False,15,0.5,0.3407407407407408,4;0;5;0;1;1;2;2;0;0
10,30,False,21,0.7,0.6984126984126985,1;3;4;1;3;1;2;2;1;3
11,30,False,11,0.36666666666666664,0.6262626262626265,2;0;2;1;1;0;2;1;1;1
12,30,False,20,0.6666666666666666,0.577777777777778,3;2;1;3;2;0;2;5;2;0
13,30,False,16,0.5333333333333333,0.5138888888888888,1;4;3;0;1;1;3;0;1;2
14,30,False,20,0.6666666666666666,0.588888888888889,3;3;0;4;1;2;1;4;1;1
15,30,False,21,0.7,0.6031746031746034,2;5;0;1;3;1;2;1;3;3
16,30,False,17,0.5666666666666667,0.5751633986928104,2;1;1;4;1;0;2;1;1;4
17,30,False,13,0.43333333333333335,0.6666666666666669,1;1;1;3;1;2;0;2;1;1
18,30,False,20,0.6666666666666666,0.6444444444444446,3;1;5;2;0;2;1;2;2;2
19,30,False,20,0.6666666666666666,0.677777777777778,3;1;4;1;1;1;2;3;3;1
20,30,False,11,0.36666666666666664,0.6262626262626265,1;2;2;1;1;1;1;2;0;0
21,30,False,23,0.7666666666666667,0.6473429951690821,4;1;1;2;3;1;5;2;3;1
22,30,False,18,0.6,0.5185185185185184,4;1;1;1;0;4;3;2;0;2
23,30,False,12,0.4,0.7222222222222222,2;1;1;0;1;1;2;1;2;1
24,30,False,23,0.7666666666666667,0.7149758454106282,2;3;4;3;1;0;2;3;3;2
25,30,False,21,0.7,0.7301587301587305,1;1;2;1;3;2;2;4;3;2
26,30,False,14,0.4666666666666667,0.6031746031746034,3;0;2;1;2;2;2;0;1;1
27,30,False,17,0.5666666666666667,0.6797385620915034,3;0;2;2;2;1;1;2;1;3
28,30,False,22,0.7333333333333333,0.5555555555555556,3;1;2;2;6;0;2;4;1;1
29,30,False,19,0.6333333333333333,0.5029239766081873,4;1;3;1;4;0;4;1;1;0
